Month,Liquidity,FSI
2016-01-22,-0.7899864676891672,-1.4853534945978373
2016-02-19,-0.6324453904777458,-1.18914058570689
2016-03-18,-0.35230460110103706,-0.6624124485816149
2016-04-29,-0.49781364137454204,-0.9360024027210178
2016-05-27,-0.44480526659027203,-0.8363346515010723
2016-06-24,-0.5077022897977668,-0.9545953015781987
2016-07-22,-0.5605310513369082,-1.0539253392141277
2016-08-19,-0.5929905624391538,-1.1149565723056145
2016-09-30,-0.6724780600145508,-1.2644110720083974
2016-10-28,-0.4449139726779958,-0.8365390435683908
2016-11-25,-0.4294393019895411,-0.8074431575944415
2016-12-23,-0.051037283466168974,-0.09596165308122957
2017-01-20,-0.2860119572152074,-0.5377672625064897
2017-02-17,-0.4183819637045947,-0.7866528570839296
2017-03-31,-0.6330379701590197,-1.1902547697295385
2017-04-28,-0.48458873828611415,-0.9111365894171838
2017-05-26,-0.513276212848883,-0.9650755394319092
2017-06-23,-0.5291524058382545,-0.9949263782781148
2017-07-21,-0.5333521001897336,-1.0028227549077797
2017-08-18,-0.5139822267027604,-0.9664030053923816
2017-09-29,-0.5186243118839065,-0.9751311769852513
2017-10-27,-0.4127011114630155,-0.7759715681322261
2017-11-24,-0.4336732614692294,-0.8154039604263391
2017-12-22,-0.40312561870494645,-0.7579674728566467
2018-01-19,-0.5007329754534962,-0.9414914120312118
2018-02-16,-0.4946184752285191,-0.9299947666475815
2018-03-30,-0.44352266143191976,-0.8339230632877698
2018-04-27,-0.4188204456082345,-0.7874773023808148
2018-05-25,-0.44101781877286206,-0.8292133917310754
2018-06-22,-0.39008179044306734,-0.7334421212409536
2018-07-20,-0.36397820155908883,-0.684361461563605
2018-08-31,-0.45468029140912536,-0.8549019348962298
2018-09-28,-0.3582343727323704,-0.6735617623673716
2018-10-26,-0.35695489426110094,-0.6711560530339927
2018-11-23,-0.3455666713366795,-0.6497436144544698
2018-12-21,-0.31111865878155304,-0.5849735482274114
2019-01-18,-0.4146004296835859,-0.7795427165906673
2019-02-15,-0.4077841263132588,-0.7667265223323396
2019-03-29,-0.3478741406458108,-0.6540821794073874
2019-04-26,-0.3280074587699488,-0.6167283175916355
2019-05-24,-0.32503358695878887,-0.6111367649918631
2019-06-21,-0.32957689280025887,-0.6196792090521953
2019-07-19,-0.28697641184460376,-0.5395806556628882
2019-08-30,-0.307228789429608,-0.5776597127735692
2019-09-27,-0.24400548956592874,-0.45878558867974617
2019-10-25,-0.15170974150769043,-0.28524867694524436
2019-11-22,-0.20301070593630308,-0.38170610996074417
2019-12-20,-0.12872468322960376,-0.2420315611676051
2020-01-31,-0.31968892235374713,-0.6010875849447996
2020-02-28,-0.05347954098515018,-0.10055365039877594
2020-03-27,0.014602255006125074,0.027455546885255575
2020-04-24,-0.202941609647295,-0.3815761932868015
2020-05-22,-0.1217925176277175,-0.22899751967065113
2020-06-19,-0.08587982580583226,-0.161473524665915
2020-07-31,-0.1498594432386977,-0.2817696970989996
2020-08-28,-0.10161713994372094,-0.1910632398146742
2020-09-25,-0.16318363767479765,-0.30682220062637555
2020-10-23,-0.1818615981509448,-0.3419409969601395
2020-11-20,-0.15071076548403237,-0.2833703757483892
2020-12-18,-0.148977312474455,-0.28011109145580054
2021-01-29,-0.19765223771320126,-0.37163097598514877
2021-02-26,-0.18068819382834517,-0.3397347310525122
2021-03-26,-0.14047426294973964,-0.264123432371944
2021-04-23,-0.1634466945638882,-0.30731680716138576
2021-05-21,-0.11781085208457183,-0.2215110865851185
2021-06-18,-0.11297666578312476,-0.21242172137435053
2021-07-30,-0.11553989541514378,-0.21724117366511334
2021-08-27,-0.09929091390418683,-0.18668940796011893
2021-09-24,-0.10939168534370294,-0.20568114613470567
2021-10-22,-0.07775361536119246,-0.14619440840827752
2021-11-19,-0.0538755074964618,-0.10129815712816442
2021-12-31,-0.062493573453697465,-0.11750207315687716
2022-01-28,0.020065500855112745,0.03772768653010059
2022-02-25,-0.05953649354484654,-0.11194209313688396
2022-03-25,-0.04832980013143771,-0.0908709711552819
2022-04-22,-0.027216472801750456,-0.05117313351576628
2022-05-20,0.09244636173059508,0.17382009955317987
2022-06-17,0.14062102103382826,0.2643993708113714
2022-07-29,0.07264758358568085,0.13659391213209765
2022-08-26,0.1590796396047615,0.2991057546814457
2022-09-23,0.16979775439871678,0.31925823819331045
2022-10-21,0.21191489012867795,0.39844799307853473
2022-11-18,0.2725617165277188,0.5124777634764854
2022-12-30,0.24287339596573118,0.4566569962872933
2023-01-27,0.3596107939843315,0.6761497460864104
2023-02-24,0.31476053678305954,0.5918211037713206
2023-03-24,0.3359429448783158,0.6316488288971972
2023-04-21,0.24887127962040462,0.4679343761045965
2023-05-19,0.37179927705293436,0.6990668549993688
2023-06-30,0.368343033134714,0.69256833357896
2023-07-28,0.16264623807414236,0.305811767653818
2023-08-25,0.2340555279777034,0.44007740718466964
2023-09-22,0.347276290082403,0.6529580849324516
2023-10-20,0.45278280613354716,0.8513342327895458
2023-11-17,0.5373098710429072,1.010264260563916
2023-12-29,0.637001646839918,1.1977073796794928
2024-01-26,0.6971588511151862,1.310816549583228
2024-02-23,0.6802140377246304,1.278956462335666
2024-03-22,0.7423474467518613,1.3957813447919907
2024-04-19,0.7088589604087349,1.3328154051803178
2024-05-31,0.7852861227357784,1.476515781437063
2024-06-28,0.8812146846520822,1.6568832060727354
2024-07-26,0.9163844716932892,1.7230103718186593
2024-08-23,0.8731652848515743,1.6417485112240082
2024-09-20,0.9224034139895073,1.7343273466519398
2024-10-18,0.9085456715511,1.7082716520293022
2024-11-29,1.0491396402664277,1.972620158354425
2024-12-27,1.2563179560595799,2.362162318827654
2025-01-24,1.270189382247562,2.3882437419989206
2025-02-21,1.2500322487254218,2.350343765299615
2025-03-21,1.358702639037725,2.5546687133988546
2025-04-18,1.210077944722289,2.2752206239515425
2025-05-30,1.4137695692263932,2.6582070150507464
2025-06-27,1.4034736341368232,2.6388483250086496
2025-07-25,0.9658478837084583,1.8160127900833383
,-1.1463183382166395,-2.1553381218950465
,-0.13142744218871372,-0.24711336019729327
,-0.13142744218871372,-0.24711336019729327
,-0.13142744218871372,-0.24711336019729327
,-0.13142744218871372,-0.24711336019729327
,-0.13142744218871372,-0.24711336019729327
